"org_id" "sm_protein_id" "ipr_id" "ipr_desc" "ipr_domain_start" "ipr_domain_end"
3 20023 "IPR003439" "ABC transporter-like" 1244 1434
3 32280 "IPR003439" "ABC transporter-like" 114 308
3 32280 "IPR003439" "ABC transporter-like" 791 979
3 34661 "IPR003439" "ABC transporter-like" 408 600
3 34661 "IPR003439" "ABC transporter-like" 1054 1241
3 35826 "IPR003439" "ABC transporter-like" 643 820
3 35826 "IPR003439" "ABC transporter-like" 1253 1433
3 37482 "IPR003439" "ABC transporter-like" 676 853
3 37482 "IPR003439" "ABC transporter-like" 1297 1480
3 50080 "IPR003439" "ABC transporter-like" 574 714
3 50676 "IPR003439" "ABC transporter-like" 147 347
3 50676 "IPR003439" "ABC transporter-like" 843 1032
3 50843 "IPR003439" "ABC transporter-like" 466 644
3 50843 "IPR003439" "ABC transporter-like" 1064 1284
3 54318 "IPR003439" "ABC transporter-like" 552 730
3 54318 "IPR003439" "ABC transporter-like" 1141 1349
14 3603 "IPR001140" "ABC transporter, transmembrane region" 27 313
14 3603 "IPR001140" "ABC transporter, transmembrane region" 732 1011
14 7047 "IPR001140" "ABC transporter, transmembrane region" 964 1141
14 7515 "IPR001140" "ABC transporter, transmembrane region" 52 331
14 7515 "IPR001140" "ABC transporter, transmembrane region" 706 987
22 190013 "IPR001140" "ABC transporter, transmembrane region" 272 401
22 190013 "IPR001140" "ABC transporter, transmembrane region" 879 1151
22 1109881 "IPR001140" "ABC transporter, transmembrane region" 269 409
22 1109881 "IPR001140" "ABC transporter, transmembrane region" 947 1119
22 1182122 "IPR001140" "ABC transporter, transmembrane region" 880 1152
22 1200460 "IPR001140" "ABC transporter, transmembrane region" 887 1124
22 1227624 "IPR001140" "ABC transporter, transmembrane region" 939 1171
21 1297 "IPR001140" "ABC transporter, transmembrane region" 916 1140
21 2566 "IPR001140" "ABC transporter, transmembrane region" 44 324
21 2566 "IPR001140" "ABC transporter, transmembrane region" 686 969
21 3718 "IPR001140" "ABC transporter, transmembrane region" 1056 1208
21 3781 "IPR001140" "ABC transporter, transmembrane region" 168 480
21 3781 "IPR001140" "ABC transporter, transmembrane region" 838 1111
21 4010 "IPR001140" "ABC transporter, transmembrane region" 27 311
21 4010 "IPR001140" "ABC transporter, transmembrane region" 730 1009
21 4851 "IPR001140" "ABC transporter, transmembrane region" 377 550
21 4851 "IPR001140" "ABC transporter, transmembrane region" 894 1122
21 6806 "IPR001140" "ABC transporter, transmembrane region" 896 1170
3 25680 "IPR001140" "ABC transporter, transmembrane region" 894 1170
3 10240 "IPR001140" "ABC transporter, transmembrane region" 239 515
3 10240 "IPR001140" "ABC transporter, transmembrane region" 904 1075
3 20023 "IPR001140" "ABC transporter, transmembrane region" 902 1173
3 34661 "IPR001140" "ABC transporter, transmembrane region" 54 333
3 34661 "IPR001140" "ABC transporter, transmembrane region" 701 982
3 35826 "IPR001140" "ABC transporter, transmembrane region" 969 1177
3 37482 "IPR001140" "ABC transporter, transmembrane region" 949 1221
3 50843 "IPR001140" "ABC transporter, transmembrane region" 201 382
3 50843 "IPR001140" "ABC transporter, transmembrane region" 718 990
3 54318 "IPR001140" "ABC transporter, transmembrane region" 868 1067
21 3778 "IPR014778" "Myb, DNA-binding" 8 61
21 3778 "IPR014778" "Myb, DNA-binding" 66 111
21 3778 "IPR014778" "Myb, DNA-binding" 117 163
3 60024 "IPR014778" "Myb, DNA-binding" 15 60
3 60024 "IPR014778" "Myb, DNA-binding" 66 112
21 2207 "IPR001611" "Leucine-rich repeat" 798 820
21 2207 "IPR001611" "Leucine-rich repeat" 822 843
21 2207 "IPR001611" "Leucine-rich repeat" 845 866
21 2207 "IPR001611" "Leucine-rich repeat" 868 888
21 2207 "IPR001611" "Leucine-rich repeat" 914 934
21 2207 "IPR001611" "Leucine-rich repeat" 936 957
21 2207 "IPR001611" "Leucine-rich repeat" 1002 1023
21 2207 "IPR001611" "Leucine-rich repeat" 1025 1046
21 2207 "IPR001611" "Leucine-rich repeat" 1048 1070
21 2207 "IPR001611" "Leucine-rich repeat" 1071 1093
21 2207 "IPR001611" "Leucine-rich repeat" 1195 1217
21 2207 "IPR001611" "Leucine-rich repeat" 1219 1241
21 2207 "IPR001611" "Leucine-rich repeat" 1243 1262
21 2207 "IPR001611" "Leucine-rich repeat" 1267 1288
14 1579 "IPR001810" "F-box domain" 11 58
14 4677 "IPR001810" "F-box domain" 2 49
14 1581 "IPR001138" "Zn(2)-C6 fungal-type DNA-binding domain" 11 49
14 3512 "IPR001138" "Zn(2)-C6 fungal-type DNA-binding domain" 6 45
14 3522 "IPR001138" "Zn(2)-C6 fungal-type DNA-binding domain" 25 63
14 3592 "IPR001138" "Zn(2)-C6 fungal-type DNA-binding domain" 44 82
14 4424 "IPR001138" "Zn(2)-C6 fungal-type DNA-binding domain" 26 65
14 4429 "IPR001138" "Zn(2)-C6 fungal-type DNA-binding domain" 32 70
14 4658 "IPR001138" "Zn(2)-C6 fungal-type DNA-binding domain" 18 57
14 5877 "IPR001138" "Zn(2)-C6 fungal-type DNA-binding domain" 18 56
14 5882 "IPR001138" "Zn(2)-C6 fungal-type DNA-binding domain" 45 86
14 6791 "IPR001138" "Zn(2)-C6 fungal-type DNA-binding domain" 10 50
14 7928 "IPR001138" "Zn(2)-C6 fungal-type DNA-binding domain" 56 93
14 8030 "IPR001138" "Zn(2)-C6 fungal-type DNA-binding domain" 24 62
14 8035 "IPR001138" "Zn(2)-C6 fungal-type DNA-binding domain" 45 82
14 8525 "IPR001138" "Zn(2)-C6 fungal-type DNA-binding domain" 15 53
14 9194 "IPR001138" "Zn(2)-C6 fungal-type DNA-binding domain" 92 132
22 200732 "IPR001138" "Zn(2)-C6 fungal-type DNA-binding domain" 22 60
22 225717 "IPR001138" "Zn(2)-C6 fungal-type DNA-binding domain" 30 67
22 1079852 "IPR001138" "Zn(2)-C6 fungal-type DNA-binding domain" 25 62
22 1084280 "IPR001138" "Zn(2)-C6 fungal-type DNA-binding domain" 14 53
22 1085665 "IPR001138" "Zn(2)-C6 fungal-type DNA-binding domain" 8 45
22 1090334 "IPR001138" "Zn(2)-C6 fungal-type DNA-binding domain" 17 55
22 1092538 "IPR001138" "Zn(2)-C6 fungal-type DNA-binding domain" 4 43
22 1092830 "IPR001138" "Zn(2)-C6 fungal-type DNA-binding domain" 50 88
22 1093317 "IPR001138" "Zn(2)-C6 fungal-type DNA-binding domain" 32 72
22 1095033 "IPR001138" "Zn(2)-C6 fungal-type DNA-binding domain" 11 50
22 1095405 "IPR001138" "Zn(2)-C6 fungal-type DNA-binding domain" 11 54
22 1099911 "IPR001138" "Zn(2)-C6 fungal-type DNA-binding domain" 17 56
22 1100831 "IPR001138" "Zn(2)-C6 fungal-type DNA-binding domain" 31 68
22 1104418 "IPR001138" "Zn(2)-C6 fungal-type DNA-binding domain" 19 58
22 1111968 "IPR001138" "Zn(2)-C6 fungal-type DNA-binding domain" 22 63
22 1114412 "IPR001138" "Zn(2)-C6 fungal-type DNA-binding domain" 30 67
22 1114541 "IPR001138" "Zn(2)-C6 fungal-type DNA-binding domain" 15 52
22 1114941 "IPR001138" "Zn(2)-C6 fungal-type DNA-binding domain" 22 59
22 1116788 "IPR001138" "Zn(2)-C6 fungal-type DNA-binding domain" 22 59
22 1118310 "IPR001138" "Zn(2)-C6 fungal-type DNA-binding domain" 9 48
22 1118447 "IPR001138" "Zn(2)-C6 fungal-type DNA-binding domain" 20 58
22 1119430 "IPR001138" "Zn(2)-C6 fungal-type DNA-binding domain" 30 69
22 1121191 "IPR001138" "Zn(2)-C6 fungal-type DNA-binding domain" 16 54
22 1124922 "IPR001138" "Zn(2)-C6 fungal-type DNA-binding domain" 94 134
22 1125622 "IPR001138" "Zn(2)-C6 fungal-type DNA-binding domain" 22 59
22 1126974 "IPR001138" "Zn(2)-C6 fungal-type DNA-binding domain" 26 67
22 1127404 "IPR001138" "Zn(2)-C6 fungal-type DNA-binding domain" 24 66
22 1127416 "IPR001138" "Zn(2)-C6 fungal-type DNA-binding domain" 12 50
22 1148536 "IPR001138" "Zn(2)-C6 fungal-type DNA-binding domain" 323 362
22 1149394 "IPR001138" "Zn(2)-C6 fungal-type DNA-binding domain" 31 70
22 1155145 "IPR001138" "Zn(2)-C6 fungal-type DNA-binding domain" 46 85
22 1155643 "IPR001138" "Zn(2)-C6 fungal-type DNA-binding domain" 29 68
22 1157464 "IPR001138" "Zn(2)-C6 fungal-type DNA-binding domain" 231 270
22 1158341 "IPR001138" "Zn(2)-C6 fungal-type DNA-binding domain" 3 42
22 1167254 "IPR001138" "Zn(2)-C6 fungal-type DNA-binding domain" 77 114
22 1167456 "IPR001138" "Zn(2)-C6 fungal-type DNA-binding domain" 9 46
22 1172724 "IPR001138" "Zn(2)-C6 fungal-type DNA-binding domain" 32 72
22 1173637 "IPR001138" "Zn(2)-C6 fungal-type DNA-binding domain" 12 52
22 1183659 "IPR001138" "Zn(2)-C6 fungal-type DNA-binding domain" 11 51
22 1184814 "IPR001138" "Zn(2)-C6 fungal-type DNA-binding domain" 10 48
22 1187773 "IPR001138" "Zn(2)-C6 fungal-type DNA-binding domain" 22 61
22 1188142 "IPR001138" "Zn(2)-C6 fungal-type DNA-binding domain" 9 51
22 1188721 "IPR001138" "Zn(2)-C6 fungal-type DNA-binding domain" 11 53
22 1207101 "IPR001138" "Zn(2)-C6 fungal-type DNA-binding domain" 22 59
21 308 "IPR001138" "Zn(2)-C6 fungal-type DNA-binding domain" 22 59
21 1317 "IPR001138" "Zn(2)-C6 fungal-type DNA-binding domain" 22 61
21 1552 "IPR001138" "Zn(2)-C6 fungal-type DNA-binding domain" 33 71
21 2209 "IPR001138" "Zn(2)-C6 fungal-type DNA-binding domain" 53 90
21 2210 "IPR001138" "Zn(2)-C6 fungal-type DNA-binding domain" 39 79
21 3110 "IPR001138" "Zn(2)-C6 fungal-type DNA-binding domain" 15 53
21 3124 "IPR001138" "Zn(2)-C6 fungal-type DNA-binding domain" 28 68
21 3700 "IPR001138" "Zn(2)-C6 fungal-type DNA-binding domain" 26 64
21 4861 "IPR001138" "Zn(2)-C6 fungal-type DNA-binding domain" 23 62
21 4863 "IPR001138" "Zn(2)-C6 fungal-type DNA-binding domain" 9 50
21 6216 "IPR001138" "Zn(2)-C6 fungal-type DNA-binding domain" 18 57
21 6654 "IPR001138" "Zn(2)-C6 fungal-type DNA-binding domain" 21 59
21 6865 "IPR001138" "Zn(2)-C6 fungal-type DNA-binding domain" 11 50
21 7745 "IPR001138" "Zn(2)-C6 fungal-type DNA-binding domain" 4 42
21 8155 "IPR001138" "Zn(2)-C6 fungal-type DNA-binding domain" 24 62
21 8426 "IPR001138" "Zn(2)-C6 fungal-type DNA-binding domain" 267 305
21 8708 "IPR001138" "Zn(2)-C6 fungal-type DNA-binding domain" 60 99
21 8822 "IPR001138" "Zn(2)-C6 fungal-type DNA-binding domain" 35 74
21 8835 "IPR001138" "Zn(2)-C6 fungal-type DNA-binding domain" 20 41
21 9707 "IPR001138" "Zn(2)-C6 fungal-type DNA-binding domain" 18 56
21 9815 "IPR001138" "Zn(2)-C6 fungal-type DNA-binding domain" 21 58
21 9818 "IPR001138" "Zn(2)-C6 fungal-type DNA-binding domain" 50 88
21 10277 "IPR001138" "Zn(2)-C6 fungal-type DNA-binding domain" 28 65
3 12785 "IPR001138" "Zn(2)-C6 fungal-type DNA-binding domain" 10 48
3 29864 "IPR001138" "Zn(2)-C6 fungal-type DNA-binding domain" 1 26
3 42758 "IPR001138" "Zn(2)-C6 fungal-type DNA-binding domain" 22 60
3 42820 "IPR001138" "Zn(2)-C6 fungal-type DNA-binding domain" 37 75
3 43263 "IPR001138" "Zn(2)-C6 fungal-type DNA-binding domain" 18 57
3 43759 "IPR001138" "Zn(2)-C6 fungal-type DNA-binding domain" 13 52
3 44971 "IPR001138" "Zn(2)-C6 fungal-type DNA-binding domain" 9 48
3 45787 "IPR001138" "Zn(2)-C6 fungal-type DNA-binding domain" 10 55
3 51914 "IPR001138" "Zn(2)-C6 fungal-type DNA-binding domain" 391 428
3 55016 "IPR001138" "Zn(2)-C6 fungal-type DNA-binding domain" 19 57
3 64208 "IPR001138" "Zn(2)-C6 fungal-type DNA-binding domain" 22 60
3 2189 "IPR001138" "Zn(2)-C6 fungal-type DNA-binding domain" 26 63
3 3299 "IPR001138" "Zn(2)-C6 fungal-type DNA-binding domain" 19 60
3 4031 "IPR001138" "Zn(2)-C6 fungal-type DNA-binding domain" 5 38
3 32412 "IPR001138" "Zn(2)-C6 fungal-type DNA-binding domain" 33 70
3 33922 "IPR001138" "Zn(2)-C6 fungal-type DNA-binding domain" 24 62
3 34443 "IPR001138" "Zn(2)-C6 fungal-type DNA-binding domain" 424 461
3 34443 "IPR001138" "Zn(2)-C6 fungal-type DNA-binding domain" 472 503
3 34628 "IPR001138" "Zn(2)-C6 fungal-type DNA-binding domain" 45 82
3 35045 "IPR001138" "Zn(2)-C6 fungal-type DNA-binding domain" 15 54
3 35854 "IPR001138" "Zn(2)-C6 fungal-type DNA-binding domain" 17 54
3 43248 "IPR001138" "Zn(2)-C6 fungal-type DNA-binding domain" 23 67
3 45006 "IPR001138" "Zn(2)-C6 fungal-type DNA-binding domain" 28 71
3 48549 "IPR001138" "Zn(2)-C6 fungal-type DNA-binding domain" 10 50
3 50540 "IPR001138" "Zn(2)-C6 fungal-type DNA-binding domain" 67 105
3 52328 "IPR001138" "Zn(2)-C6 fungal-type DNA-binding domain" 18 57
3 54512 "IPR001138" "Zn(2)-C6 fungal-type DNA-binding domain" 37 75
3 54824 "IPR001138" "Zn(2)-C6 fungal-type DNA-binding domain" 18 57
3 61902 "IPR001138" "Zn(2)-C6 fungal-type DNA-binding domain" 8 45
3 64203 "IPR001138" "Zn(2)-C6 fungal-type DNA-binding domain" 21 59
14 5885 "IPR001841" "Zinc finger, RING-type" 66 106
3 44129 "IPR001841" "Zinc finger, RING-type" 180 226
22 1177110 "IPR001092" "Basic helix-loop-helix dimerisation region bHLH" 169 240
14 8441 "IPR000195" "Rab-GTPase-TBC domain" 231 441
22 1140321 "IPR012307" "Xylose isomerase-type TIM barrel" 24 273
14 903 "IPR000873" "AMP-dependent synthetase and ligase" 295 697
14 903 "IPR000873" "AMP-dependent synthetase and ligase" 1835 2216
14 903 "IPR000873" "AMP-dependent synthetase and ligase" 2872 3281
14 903 "IPR000873" "AMP-dependent synthetase and ligase" 3963 4366
14 1585 "IPR000873" "AMP-dependent synthetase and ligase" 66 496
14 1586 "IPR000873" "AMP-dependent synthetase and ligase" 305 743
14 1586 "IPR000873" "AMP-dependent synthetase and ligase" 1466 1868
14 1586 "IPR000873" "AMP-dependent synthetase and ligase" 2585 2987
14 3529 "IPR000873" "AMP-dependent synthetase and ligase" 52 203
14 3529 "IPR000873" "AMP-dependent synthetase and ligase" 235 357
14 3529 "IPR000873" "AMP-dependent synthetase and ligase" 406 460
14 3596 "IPR000873" "AMP-dependent synthetase and ligase" 66 446
14 3596 "IPR000873" "AMP-dependent synthetase and ligase" 1086 1477
14 3602 "IPR000873" "AMP-dependent synthetase and ligase" 251 663
14 3602 "IPR000873" "AMP-dependent synthetase and ligase" 1380 1431
14 4427 "IPR000873" "AMP-dependent synthetase and ligase" 58 445
14 4427 "IPR000873" "AMP-dependent synthetase and ligase" 1105 1489
14 4503 "IPR000873" "AMP-dependent synthetase and ligase" 32 55
14 4503 "IPR000873" "AMP-dependent synthetase and ligase" 78 194
14 4506 "IPR000873" "AMP-dependent synthetase and ligase" 260 670
14 4656 "IPR000873" "AMP-dependent synthetase and ligase" 305 684
14 4656 "IPR000873" "AMP-dependent synthetase and ligase" 1338 1725
14 5566 "IPR000873" "AMP-dependent synthetase and ligase" 292 756
14 6799 "IPR000873" "AMP-dependent synthetase and ligase" 35 438
14 7048 "IPR000873" "AMP-dependent synthetase and ligase" 98 502
14 7048 "IPR000873" "AMP-dependent synthetase and ligase" 1205 1605
14 7048 "IPR000873" "AMP-dependent synthetase and ligase" 2760 3171
14 7048 "IPR000873" "AMP-dependent synthetase and ligase" 4875 5275
14 7048 "IPR000873" "AMP-dependent synthetase and ligase" 5971 6368
14 7048 "IPR000873" "AMP-dependent synthetase and ligase" 7055 7462
14 7516 "IPR000873" "AMP-dependent synthetase and ligase" 151 552
14 7929 "IPR000873" "AMP-dependent synthetase and ligase" 95 355
14 7929 "IPR000873" "AMP-dependent synthetase and ligase" 422 455
14 8033 "IPR000873" "AMP-dependent synthetase and ligase" 177 563
14 8038 "IPR000873" "AMP-dependent synthetase and ligase" 34 411
14 8038 "IPR000873" "AMP-dependent synthetase and ligase" 1078 1460
14 8266 "IPR000873" "AMP-dependent synthetase and ligase" 132 530
14 8269 "IPR000873" "AMP-dependent synthetase and ligase" 293 693
14 8269 "IPR000873" "AMP-dependent synthetase and ligase" 1371 1775
14 8269 "IPR000873" "AMP-dependent synthetase and ligase" 2906 3308
14 8446 "IPR000873" "AMP-dependent synthetase and ligase" 38 450
14 8446 "IPR000873" "AMP-dependent synthetase and ligase" 471 493
14 9170 "IPR000873" "AMP-dependent synthetase and ligase" 76 481
14 9170 "IPR000873" "AMP-dependent synthetase and ligase" 1169 1573
14 9201 "IPR000873" "AMP-dependent synthetase and ligase" 98 592
14 9205 "IPR000873" "AMP-dependent synthetase and ligase" 3076 3489
14 9313 "IPR000873" "AMP-dependent synthetase and ligase" 38 438
22 39114 "IPR000873" "AMP-dependent synthetase and ligase" 94 354
22 44571 "IPR000873" "AMP-dependent synthetase and ligase" 70 473
22 44571 "IPR000873" "AMP-dependent synthetase and ligase" 1140 1545
22 1079950 "IPR000873" "AMP-dependent synthetase and ligase" 261 400
22 1079950 "IPR000873" "AMP-dependent synthetase and ligase" 401 629
22 1079950 "IPR000873" "AMP-dependent synthetase and ligase" 1736 2135
22 1082121 "IPR000873" "AMP-dependent synthetase and ligase" 259 649
22 1082594 "IPR000873" "AMP-dependent synthetase and ligase" 104 374
22 1085888 "IPR000873" "AMP-dependent synthetase and ligase" 72 198
22 1085888 "IPR000873" "AMP-dependent synthetase and ligase" 229 338
22 1085888 "IPR000873" "AMP-dependent synthetase and ligase" 395 449
22 1087173 "IPR000873" "AMP-dependent synthetase and ligase" 2824 3240
22 1092575 "IPR000873" "AMP-dependent synthetase and ligase" 26 432
22 1094006 "IPR000873" "AMP-dependent synthetase and ligase" 87 516
22 1094020 "IPR000873" "AMP-dependent synthetase and ligase" 26 432
22 1099903 "IPR000873" "AMP-dependent synthetase and ligase" 2951 3373
22 1102698 "IPR000873" "AMP-dependent synthetase and ligase" 247 658
22 1102698 "IPR000873" "AMP-dependent synthetase and ligase" 1752 2138
22 1102698 "IPR000873" "AMP-dependent synthetase and ligase" 2844 3244
22 1102698 "IPR000873" "AMP-dependent synthetase and ligase" 3924 4324
22 1102768 "IPR000873" "AMP-dependent synthetase and ligase" 57 113
22 1102768 "IPR000873" "AMP-dependent synthetase and ligase" 201 477
22 1103566 "IPR000873" "AMP-dependent synthetase and ligase" 515 923
22 1103566 "IPR000873" "AMP-dependent synthetase and ligase" 1597 2000
22 1103566 "IPR000873" "AMP-dependent synthetase and ligase" 3139 3551
22 1108909 "IPR000873" "AMP-dependent synthetase and ligase" 59 462
22 1108909 "IPR000873" "AMP-dependent synthetase and ligase" 1718 2118
22 1108909 "IPR000873" "AMP-dependent synthetase and ligase" 3236 3646
22 1108909 "IPR000873" "AMP-dependent synthetase and ligase" 4325 4731
22 1108909 "IPR000873" "AMP-dependent synthetase and ligase" 5872 6279
22 1110824 "IPR000873" "AMP-dependent synthetase and ligase" 296 760
22 1111323 "IPR000873" "AMP-dependent synthetase and ligase" 2844 3266
22 1112058 "IPR000873" "AMP-dependent synthetase and ligase" 2774 3182
22 1114543 "IPR000873" "AMP-dependent synthetase and ligase" 51 344
22 1114546 "IPR000873" "AMP-dependent synthetase and ligase" 554 938
22 1114952 "IPR000873" "AMP-dependent synthetase and ligase" 81 436
22 1115863 "IPR000873" "AMP-dependent synthetase and ligase" 45 447
22 1116473 "IPR000873" "AMP-dependent synthetase and ligase" 288 690
22 1117227 "IPR000873" "AMP-dependent synthetase and ligase" 43 458
22 1117738 "IPR000873" "AMP-dependent synthetase and ligase" 145 492
22 1121186 "IPR000873" "AMP-dependent synthetase and ligase" 35 436
22 1122199 "IPR000873" "AMP-dependent synthetase and ligase" 2868 3268
22 1123743 "IPR000873" "AMP-dependent synthetase and ligase" 46 448
22 1126949 "IPR000873" "AMP-dependent synthetase and ligase" 258 658
22 1126949 "IPR000873" "AMP-dependent synthetase and ligase" 1417 1825
22 1126949 "IPR000873" "AMP-dependent synthetase and ligase" 2502 2718
22 1126949 "IPR000873" "AMP-dependent synthetase and ligase" 2719 2855
22 1128344 "IPR000873" "AMP-dependent synthetase and ligase" 2854 3275
22 1152150 "IPR000873" "AMP-dependent synthetase and ligase" 128 470
22 1154309 "IPR000873" "AMP-dependent synthetase and ligase" 44 198
22 1154309 "IPR000873" "AMP-dependent synthetase and ligase" 396 450
22 1155683 "IPR000873" "AMP-dependent synthetase and ligase" 44 465
22 1156292 "IPR000873" "AMP-dependent synthetase and ligase" 43 337
22 1158197 "IPR000873" "AMP-dependent synthetase and ligase" 244 631
22 1160258 "IPR000873" "AMP-dependent synthetase and ligase" 53 428
22 1160258 "IPR000873" "AMP-dependent synthetase and ligase" 437 458
22 1160936 "IPR000873" "AMP-dependent synthetase and ligase" 66 496
22 1164062 "IPR000873" "AMP-dependent synthetase and ligase" 321 725
22 1164062 "IPR000873" "AMP-dependent synthetase and ligase" 1425 1837
22 1164062 "IPR000873" "AMP-dependent synthetase and ligase" 2519 2925
22 1164062 "IPR000873" "AMP-dependent synthetase and ligase" 3610 4013
22 1164062 "IPR000873" "AMP-dependent synthetase and ligase" 4726 5117
22 1166499 "IPR000873" "AMP-dependent synthetase and ligase" 53 459
22 1166499 "IPR000873" "AMP-dependent synthetase and ligase" 1173 1581
22 1168636 "IPR000873" "AMP-dependent synthetase and ligase" 274 677
22 1168636 "IPR000873" "AMP-dependent synthetase and ligase" 1818 1941
22 1168636 "IPR000873" "AMP-dependent synthetase and ligase" 1946 2196
22 1168636 "IPR000873" "AMP-dependent synthetase and ligase" 2860 3256
22 1168636 "IPR000873" "AMP-dependent synthetase and ligase" 3951 4356
22 1170655 "IPR000873" "AMP-dependent synthetase and ligase" 2991 3406
22 1172138 "IPR000873" "AMP-dependent synthetase and ligase" 245 641
22 1172138 "IPR000873" "AMP-dependent synthetase and ligase" 1347 1740
22 1172138 "IPR000873" "AMP-dependent synthetase and ligase" 2518 2920
22 1172138 "IPR000873" "AMP-dependent synthetase and ligase" 4067 4459
22 1172993 "IPR000873" "AMP-dependent synthetase and ligase" 52 203
22 1172993 "IPR000873" "AMP-dependent synthetase and ligase" 239 357
22 1173636 "IPR000873" "AMP-dependent synthetase and ligase" 51 505
22 1177621 "IPR000873" "AMP-dependent synthetase and ligase" 26 436
22 1177761 "IPR000873" "AMP-dependent synthetase and ligase" 314 693
22 1177761 "IPR000873" "AMP-dependent synthetase and ligase" 1334 1721
22 1184525 "IPR000873" "AMP-dependent synthetase and ligase" 93 350
22 1184525 "IPR000873" "AMP-dependent synthetase and ligase" 424 462
22 1186328 "IPR000873" "AMP-dependent synthetase and ligase" 252 659
22 1186328 "IPR000873" "AMP-dependent synthetase and ligase" 1348 1760
22 1186328 "IPR000873" "AMP-dependent synthetase and ligase" 2444 2825
22 1186328 "IPR000873" "AMP-dependent synthetase and ligase" 3509 3912
22 1186328 "IPR000873" "AMP-dependent synthetase and ligase" 4595 4995
22 1186498 "IPR000873" "AMP-dependent synthetase and ligase" 237 649
22 1186498 "IPR000873" "AMP-dependent synthetase and ligase" 1324 1416
22 1188722 "IPR000873" "AMP-dependent synthetase and ligase" 3014 3429
22 1188789 "IPR000873" "AMP-dependent synthetase and ligase" 50 342
22 1189171 "IPR000873" "AMP-dependent synthetase and ligase" 271 707
22 1189171 "IPR000873" "AMP-dependent synthetase and ligase" 1428 1629
22 1189171 "IPR000873" "AMP-dependent synthetase and ligase" 1639 1807
22 1189171 "IPR000873" "AMP-dependent synthetase and ligase" 2525 2924
21 309 "IPR000873" "AMP-dependent synthetase and ligase" 71 355
21 309 "IPR000873" "AMP-dependent synthetase and ligase" 423 461
21 522 "IPR000873" "AMP-dependent synthetase and ligase" 254 645
21 1303 "IPR000873" "AMP-dependent synthetase and ligase" 109 494
21 1303 "IPR000873" "AMP-dependent synthetase and ligase" 1172 1573
