"org_id" "clust_backbone" "clust_size" "sm_protein_id" "sm_short" "sm_desc"
3 "63282" 18 46498 "none" "none"
3 "63282" 18 34141 "none" "none"
3 "63282" 18 19232 "none" "none"
3 "63282" 18 33973 "none" "none"
3 "63282" 18 63287 "none" "none"
3 "63282" 18 54314 "none" "KR Epimerase adh_short"
3 "63282" 18 33648 "none" "p450"
3 "63282" 18 63290 "none" "KR Epimerase adh_short"
3 "63282" 18 33600 "none" "FAD_binding_3"
3 "63282" 18 33922 "none" "Zn_clus Fungal_trans"
3 "63282" 18 54318 "none" "ABC_tran ABC_membrane"
3 "33919" 4 33902 "none" "FSH1"
3 "33919" 4 33913 "none" "MFS_1"
3 "33919" 4 46529 "none" "FSH1"
3 "33919" 4 33919 "PKS" "Ketoacyl-synt_C ADH_zinc_N Acyl_transf_1 PP-binding KR ADH_N adh_short ketoacyl-synt"
3 "34099" 5 54341 "none" "p450"
3 "34099" 5 33834 "none" "KR adh_short"
3 "34099" 5 63327 "none" "GST_C GST_N"
3 "34099" 5 34099 "NRPS" "AMP-binding NAD_binding_4 Condensation Epimerase PP-binding"
3 "34099" 5 33911 "none" "AMP-binding"
3 "63333" 6 63333 "PKS" "ketoacyl-synt Acyl_transf_1 Ketoacyl-synt_C PP-binding"
3 "63333" 6 63334 "none" "none"
3 "63333" 6 33958 "none" "2OG-FeII_Oxy"
3 "63333" 6 33624 "none" "Lactamase_B"
3 "63333" 6 6036 "none" "none"
3 "63333" 6 63337 "none" "AflR"
3 "33107" 6 33107 "NRPS-Like" "AMP-binding PP-binding NAD_binding_4 Epimerase"
3 "33107" 6 46021 "none" "none"
3 "33107" 6 62863 "none" "none"
3 "33107" 6 46023 "none" "none"
3 "33107" 6 46024 "none" "none"
3 "33107" 6 53953 "none" "AA_permease"
3 "34998" 20 46993 "none" "KR adh_short"
3 "34998" 20 46994 "none" "none"
3 "34998" 20 46995 "none" "none"
3 "34998" 20 46996 "none" "none"
3 "34998" 20 63695 "none" "none"
3 "34998" 20 34661 "none" "ABC_tran ABC_membrane"
3 "34998" 20 46999 "none" "none"
3 "34998" 20 47000 "none" "Fungal_trans"
3 "34998" 20 34998 "PKS-Like" "ketoacyl-synt Ketoacyl-synt_C adh_short"
3 "34998" 20 34810 "none" "Acyl_transf_1"
3 "34998" 20 47003 "none" "FAD_binding_3"
3 "34998" 20 47004 "none" "Transferase"
3 "34998" 20 35045 "none" "Zn_clus Fungal_trans"
3 "34998" 20 54632 "PKS" "Ketoacyl-synt_C Acyl_transf_1 Epimerase PP-binding NAD_binding_4 ketoacyl-synt"
3 "34998" 20 34628 "none" "Zn_clus Fungal_trans"
3 "34998" 20 54634 "none" "ADH_N ADH_zinc_N"
3 "34998" 20 63703 "none" "none"
3 "34998" 20 47011 "none" "none"
3 "34998" 20 63705 "none" "none"
3 "34998" 20 54635 "none" "MFS_1 Sugar_tr"
3 "46595" 8 46590 "none" "Fungal_trans"
3 "46595" 8 46591 "none" "none"
3 "46595" 8 46592 "none" "none"
3 "46595" 8 63363 "none" "none"
3 "46595" 8 34424 "none" "ADH_N ADH_zinc_N"
3 "46595" 8 46595 "NRPS" "AMP-binding PP-binding Condensation"
3 "46595" 8 46596 "none" "Epimerase"
3 "46595" 8 46597 "DMAT" "Trp_DMAT"
3 "34168" 9 34531 "none" "ADH_zinc_N"
3 "34168" 9 54375 "none" "none"
3 "34168" 9 34251 "none" "none"
3 "34168" 9 63387 "none" "none"
3 "34168" 9 46628 "none" "none"
3 "34168" 9 46629 "none" "Fungal_trans_2"
3 "34168" 9 34168 "NRPS" "AMP-binding PP-binding Condensation"
3 "34168" 9 63390 "none" "2OG-FeII_Oxy"
3 "34168" 9 46632 "none" "MFS_1"
3 "54488" 1 54488 "NRPS-Like" "AMP-binding PP-binding NAD_binding_4 Epimerase"
3 "63539" 1 63539 "TC" "Terpene_synth_C"
3 "63555" 9 34382 "none" "MFS_1 Sugar_tr"
3 "63555" 9 46822 "none" "none"
3 "63555" 9 46823 "none" "none"
3 "63555" 9 34530 "none" "Pyr_redox_2"
3 "63555" 9 54512 "none" "Zn_clus Fungal_trans"
3 "63555" 9 46826 "none" "none"
3 "63555" 9 46827 "none" "none"
3 "63555" 9 63555 "NRPS-Like" "PP-binding KR Epimerase AMP-binding NAD_binding_4 adh_short"
3 "63555" 9 34443 "none" "Zn_clus"
3 "31198" 5 44790 "none" "Acetyltransf_1"
3 "31198" 5 31198 "NRPS-Like" "AMP-binding PP-binding"
3 "31198" 5 44792 "none" "MFS_1"
3 "31198" 5 44793 "none" "none"
3 "31198" 5 44794 "none" "Acetyltransf_1"
3 "44810" 7 53244 "none" "MFS_1"
3 "44810" 7 44805 "none" "none"
3 "44810" 7 61824 "none" "MFS_1"
3 "44810" 7 61825 "none" "ADH_N"
3 "44810" 7 44808 "none" "p450"
3 "44810" 7 31529 "none" "p450"
3 "44810" 7 44810 "HYBRID" "Ketoacyl-synt_C Condensation KR Acyl_transf_1 Epimerase PP-binding AMP-binding NAD_binding_4 adh_short ketoacyl-synt"
3 "31261" 10 44820 "none" "KR adh_short"
3 "31261" 10 5974 "none" "none"
3 "31261" 10 44822 "none" "none"
3 "31261" 10 44823 "none" "none"
3 "31261" 10 31261 "PKS" "ketoacyl-synt Acyl_transf_1 Ketoacyl-synt_C PP-binding"
3 "31261" 10 44825 "none" "KR adh_short"
3 "31261" 10 31360 "none" "MFS_1"
3 "31261" 10 44827 "none" "none"
3 "31261" 10 44828 "none" "FAD_binding_3"
3 "31261" 10 53255 "none" "KR Epimerase adh_short"
3 "31185" 7 31185 "HYBRID" "Ketoacyl-synt_C Condensation KR Acyl_transf_1 Epimerase PP-binding AMP-binding NAD_binding_4 adh_short ketoacyl-synt"
3 "31185" 7 53276 "DMAT" "Trp_DMAT"
3 "31185" 7 31222 "none" "p450"
3 "31185" 7 31385 "none" "MFS_1"
3 "31185" 7 44861 "none" "Methyltransf_2"
3 "31185" 7 61874 "none" "none"
3 "31185" 7 53279 "none" "Pyr_redox"
3 "31276" 13 61902 "none" "Zn_clus"
3 "31276" 13 53294 "none" "none"
3 "31276" 13 53295 "none" "none"
3 "31276" 13 44896 "none" "p450"
3 "31276" 13 53296 "none" "none"
3 "31276" 13 44898 "none" "Methyltransf_2"
3 "31276" 13 31276 "NRPS-Like" "AMP-binding PP-binding"
3 "31276" 13 44900 "none" "none"
3 "31276" 13 44901 "none" "none"
3 "31276" 13 44902 "none" "none"
3 "31276" 13 61911 "none" "none"
3 "31276" 13 61912 "none" "none"
3 "31276" 13 44905 "none" "ketoacyl-synt"
3 "61978" 10 44970 "none" "Peptidase_M24"
3 "61978" 10 44971 "none" "Zn_clus Fungal_trans_2"
3 "61978" 10 44972 "none" "none"
3 "61978" 10 44973 "none" "Epimerase"
3 "61978" 10 44974 "none" "none"
3 "61978" 10 53336 "none" "none"
3 "61978" 10 61976 "none" "NAD_binding_4 Epimerase"
3 "61978" 10 31412 "none" "none"
3 "61978" 10 61978 "NRPS-Like" "AMP-binding PP-binding NAD_binding_4 Epimerase"
3 "61978" 10 31379 "none" "Aminotran_1_2"
3 "48" 30 31254 "none" "ADH_N ADH_zinc_N"
3 "48" 30 44994 "none" "none"
3 "48" 30 31052 "none" "ADH_zinc_N"
3 "48" 30 53346 "none" "KR adh_short"
3 "48" 30 31467 "none" "none"
3 "48" 30 61991 "none" "none"
3 "48" 30 48 "PKS" "KR ketoacyl-synt Acyl_transf_1 Ketoacyl-synt_C adh_short"
3 "48" 30 53349 "none" "GST_C GST_N"
3 "48" 30 31096 "none" "MFS_1 Sugar_tr"
3 "48" 30 31526 "none" "none"
3 "48" 30 61996 "none" "p450"
3 "48" 30 61997 "none" "none"
3 "48" 30 53353 "none" "Pyr_redox_2"
3 "48" 30 45006 "none" "Zn_clus"
3 "48" 30 31451 "none" "none"
3 "48" 30 31172 "none" "none"
3 "48" 30 45009 "none" "none"
3 "48" 30 773 "NRPS" "AMP-binding Condensation NAD_binding_4 Epimerase PP-binding"
3 "48" 30 62004 "none" "p450"
3 "48" 30 62005 "none" "none"
3 "48" 30 45013 "none" "none"
3 "48" 30 45014 "none" "none"
3 "48" 30 31170 "none" "FAD_binding_4"
3 "48" 30 62008 "none" "p450"
3 "48" 30 45017 "none" "KR adh_short"
3 "48" 30 45018 "none" "none"
3 "48" 30 31463 "none" "p450"
3 "48" 30 31215 "none" "FAD_binding_4"
3 "48" 30 53360 "none" "none"
3 "48" 30 31174 "none" "MFS_1 Sugar_tr"
3 "30510" 6 30767 "none" "ADH_zinc_N"
3 "30510" 6 53085 "none" "none"
3 "30510" 6 30624 "none" "none"
3 "30510" 6 53087 "none" "none"
3 "30510" 6 30510 "PKS-Like" "ketoacyl-synt Ketoacyl-synt_C adh_short"
3 "30510" 6 30893 "none" "Acyl_transf_1"
3 "53653" 11 45509 "none" "Methyltransf_2"
3 "53653" 11 62445 "none" "none"
3 "53653" 11 53651 "none" "none"
3 "53653" 11 53652 "none" "MFS_1 Sugar_tr"
3 "53653" 11 53653 "NRPS-Like" "AMP-binding NAD_binding_4"
3 "53653" 11 45514 "none" "none"
3 "53653" 11 45515 "none" "none"
3 "53653" 11 32501 "none" "Fungal_trans"
3 "53653" 11 32248 "none" "none"
3 "53653" 11 62452 "none" "none"
3 "53653" 11 32302 "none" "p450"
3 "45669" 15 32369 "none" "Fungal_trans"
3 "45669" 15 62567 "none" "none"
3 "45669" 15 45661 "none" "none"
3 "45669" 15 45662 "none" "none"
3 "45669" 15 45663 "none" "none"
3 "45669" 15 45664 "none" "NAD_binding_4 Epimerase adh_short"
3 "45669" 15 53740 "none" "FAD_binding_4"
3 "45669" 15 53741 "none" "KR adh_short"
3 "45669" 15 32280 "none" "ABC_tran"
3 "45669" 15 32412 "none" "Zn_clus Fungal_trans"
3 "45669" 15 45669 "PKS" "PP-binding Acyl_transf_1 Ketoacyl-synt_C KR adh_short ketoacyl-synt"
3 "45669" 15 53745 "none" "none"
3 "45669" 15 32595 "none" "p450"
3 "45669" 15 45672 "none" "none"
3 "45669" 15 53746 "none" "p450"
3 "32492" 6 45700 "none" "Fungal_trans_2"
3 "32492" 6 45701 "none" "none"
3 "32492" 6 45702 "none" "none"
3 "32492" 6 53759 "none" "none"
3 "32492" 6 32490 "none" "MFS_1 Sugar_tr"
3 "32492" 6 32492 "NRPS-Like" "AMP-binding PP-binding NAD_binding_4 Epimerase adh_short"
3 "108" 5 108 "PKS" "PP-binding Acyl_transf_1 Ketoacyl-synt_C KR adh_short ketoacyl-synt"
3 "108" 5 32576 "none" "FAD_binding_3"
3 "108" 5 45787 "none" "none"
3 "108" 5 32370 "none" "MFS_1 Sugar_tr"
3 "108" 5 3245 "none" "Fungal_trans"
3 "31687" 2 31687 "PKS" "ketoacyl-synt Acyl_transf_1 Ketoacyl-synt_C"
3 "31687" 2 45100 "none" "KR PP-binding"
3 "47492" 14 35940 "none" "MFS_1"
3 "47492" 14 47491 "none" "none"
3 "47492" 14 47492 "NRPS" "AMP-binding NAD_binding_4 Condensation Epimerase PP-binding"
3 "47492" 14 47493 "none" "none"
3 "47492" 14 47494 "none" "none"
3 "47492" 14 54938 "none" "none"
3 "47492" 14 64101 "NRPS" "AMP-binding PP-binding Condensation"
3 "47492" 14 47497 "none" "none"
3 "47492" 14 47498 "none" "none"
3 "47492" 14 35980 "none" "MFS_1"
3 "47492" 14 64104 "none" "none"
3 "47492" 14 35638 "none" "none"
3 "47492" 14 35693 "none" "none"
3 "47492" 14 35854 "none" "Zn_clus Fungal_trans"
3 "64146" 10 54966 "none" "Fungal_trans"
3 "64146" 10 35592 "none" "none"
3 "64146" 10 35790 "none" "none"
3 "64146" 10 35893 "none" "none"
3 "64146" 10 47544 "none" "Peptidase_M24"
3 "64146" 10 47545 "none" "p450"
3 "64146" 10 35826 "none" "ABC_tran ABC_membrane"
3 "64146" 10 47547 "none" "none"
3 "64146" 10 47548 "none" "none"
3 "64146" 10 64146 "NRPS" "AMP-binding PP-binding Condensation"
3 "35599" 17 35615 "none" "ADH_N ADH_zinc_N"
3 "35599" 17 55013 "none" "KR adh_short"
3 "35599" 17 47608 "none" "none"
3 "35599" 17 3299 "none" "Zn_clus Fungal_trans"
3 "35599" 17 55016 "none" "Zn_clus Fungal_trans"
3 "35599" 17 64201 "none" "GST_C GST_N"
3 "35599" 17 64202 "none" "none"
3 "35599" 17 64203 "none" "Zn_clus Fungal_trans_2"
3 "35599" 17 47614 "none" "none"
3 "35599" 17 35599 "NRPS" "AMP-binding PP-binding Condensation"
3 "35599" 17 35869 "none" "none"
3 "35599" 17 64207 "none" "none"
3 "35599" 17 64208 "none" "Zn_clus"
3 "35599" 17 64209 "none" "none"
3 "35599" 17 35696 "none" "none"
3 "35599" 17 35630 "none" "none"
3 "35599" 17 64212 "none" "Pyr_redox_2"
3 "54820" 11 54820 "PKS" "Ketoacyl-synt_C ADH_zinc_N Acyl_transf_1 PP-binding KR adh_short ketoacyl-synt"
3 "54820" 11 47291 "none" "none"
3 "54820" 11 47292 "none" "none"
3 "54820" 11 54821 "none" "FAD_binding_4"
3 "54820" 11 47294 "DMAT" "Trp_DMAT"
3 "54820" 11 54822 "none" "Aminotran_1_2"
3 "54820" 11 47296 "none" "none"
3 "54820" 11 35120 "NRPS-Like" "AMP-binding PP-binding"
3 "54820" 11 47298 "none" "none"
3 "54820" 11 47299 "none" "none"
3 "54820" 11 54824 "none" "Zn_clus"
3 "28096" 7 51914 "none" "Zn_clus Fungal_trans"
3 "28096" 7 28576 "none" "none"
3 "28096" 7 28096 "NRPS-Like" "AMP-binding PP-binding NAD_binding_4 Epimerase"
3 "28096" 7 59955 "none" "none"
3 "28096" 7 42671 "none" "none"
3 "28096" 7 51917 "none" "none"
3 "28096" 7 28436 "none" "Pyr_redox_2 Trp_halogenase FAD_binding_3"
3 "60017" 19 42741 "none" "Methyltransf_2"
3 "60017" 19 42742 "none" "none"
3 "60017" 19 42743 "none" "none"
3 "60017" 19 42744 "none" "none"
3 "60017" 19 60017 "PKS" "Ketoacyl-synt_C Acyl_transf_1 Epimerase PP-binding NAD_binding_4 ketoacyl-synt"
3 "60017" 19 42746 "PKS" "PP-binding Acyl_transf_1 Ketoacyl-synt_C KR adh_short ketoacyl-synt"
3 "60017" 19 6914 "none" "NAD_binding_4 Epimerase"
3 "60017" 19 42748 "none" "Epimerase"
3 "60017" 19 28240 "none" "Fungal_trans"
3 "60017" 19 42750 "none" "none"
3 "60017" 19 42751 "none" "none"
3 "60017" 19 51977 "none" "Pyr_redox"
3 "60017" 19 60024 "none" "none"
3 "60017" 19 60025 "none" "none"
3 "60017" 19 42755 "none" "MFS_1 Sugar_tr"
3 "60017" 19 51979 "none" "Transferase"
3 "60017" 19 42757 "none" "none"
3 "60017" 19 42758 "none" "Zn_clus AflR"
3 "60017" 19 60030 "none" "FAD_binding_3"
3 "27787" 7 42820 "none" "Zn_clus Fungal_trans"
3 "27787" 7 27787 "PKS" "Ketoacyl-synt_C ADH_zinc_N Acyl_transf_1 PP-binding KR adh_short ketoacyl-synt"
3 "27787" 7 60087 "none" "none"
3 "27787" 7 60088 "none" "Pyr_redox_2 Pyr_redox"
3 "27787" 7 1391 "none" "none"
3 "27787" 7 42825 "none" "none"
3 "27787" 7 60090 "none" "p450"
3 "60230" 1 60230 "NRPS" "AMP-binding PP-binding Condensation"
3 "37870" 10 48873 "none" "PhyH"
3 "37870" 10 37865 "none" "Epimerase"
3 "37870" 10 37866 "none" "none"
3 "37870" 10 37867 "none" "none"
3 "37870" 10 55804 "none" "none"
3 "37870" 10 37869 "none" "none"
3 "37870" 10 37870 "NRPS-Like" "AMP-binding PP-binding NAD_binding_4 Epimerase"
3 "37870" 10 55807 "none" "none"
3 "37870" 10 20773 "none" "Pyr_redox_2 FAD_binding_3"
3 "37870" 10 48877 "none" "MFS_1"
3 "37882" 6 37881 "none" "FSH1"
3 "37882" 6 37882 "NRPS" "AMP-binding PP-binding Condensation"
3 "37882" 6 37883 "none" "none"
3 "37882" 6 37884 "none" "Fungal_trans"
3 "37882" 6 19982 "none" "none"
3 "37882" 6 20664 "none" "MFS_1 Sugar_tr"
3 "38145" 17 49037 "none" "MFS_1"
3 "38145" 17 20238 "none" "none"
3 "38145" 17 56047 "none" "none"
3 "38145" 17 38141 "none" "none"
3 "38145" 17 38142 "none" "Epimerase"
3 "38145" 17 38143 "none" "none"
3 "38145" 17 56050 "none" "none"
3 "38145" 17 38145 "NRPS" "AMP-binding PP-binding Condensation"
3 "38145" 17 21071 "none" "Pyr_redox_2 Pyr_redox"
3 "38145" 17 56053 "none" "none"
3 "38145" 17 21211 "none" "MFS_1"
3 "38145" 17 12785 "none" "Zn_clus Fungal_trans"
3 "38145" 17 38150 "none" "none"
3 "38145" 17 49044 "none" "none"
3 "38145" 17 38152 "none" "none"
3 "38145" 17 38153 "none" "none"
3 "38145" 17 56058 "none" "Pyr_redox_2 FAD_binding_3"
3 "241" 10 20023 "none" "ABC_tran ABC_membrane"
3 "241" 10 20908 "none" "MFS_1"
3 "241" 10 56124 "none" "none"
3 "241" 10 38234 "none" "none"
3 "241" 10 49090 "none" "none"
3 "241" 10 241 "NRPS" "AMP-binding PP-binding Condensation"
3 "241" 10 56127 "none" "none"
3 "241" 10 56128 "none" "none"
3 "241" 10 56129 "none" "none"
3 "241" 10 20124 "none" "p450"
3 "49313" 3 49312 "none" "p450"
3 "49313" 3 38570 "none" "none"
3 "49313" 3 49313 "NRPS" "AMP-binding PP-binding Condensation"
3 "50169" 9 5211 "none" "p450"
3 "50169" 9 39920 "none" "none"
3 "50169" 9 39921 "none" "none"
3 "50169" 9 50166 "none" "none"
3 "50169" 9 57619 "none" "none"
3 "50169" 9 39926 "none" "none"
3 "50169" 9 50168 "none" "Methyltransf_2"
3 "50169" 9 50169 "NRPS-Like" "AMP-binding PP-binding NAD_binding_4 Epimerase"
3 "50169" 9 24044 "none" "MFS_1"
3 "23306" 2 23306 "NRPS-Like" "AMP-binding PP-binding NAD_binding_4 Epimerase"
3 "23306" 2 2189 "none" "Zn_clus Fungal_trans"
3 "23483" 6 50540 "none" "Zn_clus Fungal_trans"
3 "23483" 6 40478 "none" "none"
3 "23483" 6 40479 "none" "none"
3 "23483" 6 23681 "none" "none"
3 "23483" 6 23763 "none" "none"
3 "23483" 6 23483 "NRPS-Like" "AMP-binding PP-binding"
3 "50559" 5 50557 "none" "p450"
3 "50559" 5 50559 "DMAT" "Trp_DMAT"
3 "50559" 5 40505 "none" "none"
3 "50559" 5 58129 "none" "none"
3 "50559" 5 23527 "none" "AMP-binding"
3 "22920" 7 22047 "none" "ADH_zinc_N"
3 "22920" 7 49721 "none" "none"
3 "22920" 7 22507 "none" "none"
3 "22920" 7 49723 "none" "none"
3 "22920" 7 21581 "none" "Aminotran_1_2"
3 "22920" 7 49724 "none" "none"
3 "22920" 7 22920 "NRPS-Like" "AMP-binding PP-binding"
3 "22729" 2 22729 "NRPS-Like" "AMP-binding PP-binding NAD_binding_4 Epimerase"
3 "22729" 2 50080 "none" "ABC_tran ABC_membrane"
3 "51108" 8 26403 "none" "p450"
3 "51108" 8 58887 "none" "none"
3 "51108" 8 26007 "none" "none"
3 "51108" 8 41415 "none" "none"
3 "51108" 8 8044 "none" "none"
3 "51108" 8 51107 "none" "p450"
3 "51108" 8 51108 "HYBRID" "Ketoacyl-synt_C Condensation KR Acyl_transf_1 Epimerase PP-binding AMP-binding NAD_binding_4 adh_short ketoacyl-synt"
3 "51108" 8 26431 "PKS" "Ketoacyl-synt_C ADH_zinc_N Acyl_transf_1 KR adh_short ketoacyl-synt"
3 "51224" 12 51224 "NRPS" "AMP-binding PP-binding Condensation"
3 "51224" 12 26308 "none" "FAD_binding_3"
3 "51224" 12 41590 "none" "none"
3 "51224" 12 26742 "DMAT" "Trp_DMAT"
3 "51224" 12 41592 "none" "p450"
3 "51224" 12 41593 "none" "PhyH"
3 "51224" 12 41594 "none" "none"
3 "51224" 12 59047 "none" "none"
3 "51224" 12 51227 "none" "none"
3 "51224" 12 26504 "none" "none"
3 "51224" 12 41598 "none" "none"
3 "51224" 12 51230 "none" "AA_permease"
3 "59408" 21 59403 "none" "2OG-FeII_Oxy"
3 "59408" 21 26446 "none" "none"
3 "59408" 21 42020 "none" "none"
3 "59408" 21 2707 "none" "none"
3 "59408" 21 42022 "none" "none"
3 "59408" 21 51506 "none" "none"
3 "59408" 21 4483 "none" "p450"
3 "59408" 21 59408 "NRPS" "AMP-binding PP-binding Condensation"
3 "59408" 21 42026 "none" "2OG-FeII_Oxy"
3 "59408" 21 42027 "none" "p450"
3 "59408" 21 26527 "none" "AMP-binding"
3 "59408" 21 42029 "none" "none"
3 "59408" 21 42030 "none" "2OG-FeII_Oxy"
3 "59408" 21 25680 "none" "ABC_tran ABC_membrane"
3 "59408" 21 26029 "none" "none"
3 "59408" 21 42033 "none" "none"
3 "59408" 21 59415 "none" "none"
3 "59408" 21 26267 "none" "none"
3 "59408" 21 59417 "none" "none"
3 "59408" 21 51512 "none" "MFS_1"
3 "59408" 21 26228 "PKS" "Ketoacyl-synt_C Acyl_transf_1 Epimerase PP-binding KR NAD_binding_4 adh_short ketoacyl-synt"
3 "50671" 16 40642 "none" "Pyr_redox_2 FAD_binding_3"
3 "50671" 16 40643 "none" "none"
3 "50671" 16 50669 "none" "none"
3 "50671" 16 40645 "none" "KR Epimerase adh_short"
3 "50671" 16 50671 "PKS" "Ketoacyl-synt_C ADH_zinc_N Acyl_transf_1 KR ADH_N adh_short ketoacyl-synt"
3 "50671" 16 25397 "none" "p450"
3 "50671" 16 58255 "none" "KR adh_short"
3 "50671" 16 24651 "none" "Fungal_trans_2"
3 "50671" 16 40650 "none" "none"
3 "50671" 16 50674 "none" "adh_short"
3 "50671" 16 40652 "none" "none"
3 "50671" 16 40653 "none" "none"
3 "50671" 16 40654 "none" "none"
3 "50671" 16 25461 "none" "FAD_binding_4"
3 "50671" 16 40656 "none" "none"
3 "50671" 16 50676 "none" "ABC_tran"
3 "802" 1 802 "NRPS-Like" "AMP-binding PP-binding NAD_binding_4 Epimerase"
3 "24817" 1 24817 "NRPS-Like" "AMP-binding PP-binding NAD_binding_4 Epimerase"
3 "58515" 9 40963 "none" "Lactamase_B"
3 "58515" 9 40964 "none" "KR adh_short"
3 "58515" 9 40965 "none" "Acetyltransf_1"
3 "58515" 9 58511 "none" "none"
3 "58515" 9 40967 "none" "Acetyltransf_1"
3 "58515" 9 25059 "none" "none"
3 "58515" 9 40969 "none" "none"
3 "58515" 9 50843 "none" "ABC_tran ABC_membrane"
3 "58515" 9 58515 "NRPS-Like" "AMP-binding PP-binding NAD_binding_4 Epimerase"
3 "27338" 5 42236 "none" "FSH1"
3 "27338" 5 42237 "none" "none"
3 "27338" 5 59590 "none" "none"
3 "27338" 5 59591 "none" "AMP-binding"
3 "27338" 5 27338 "PKS" "PP-binding Acyl_transf_1 Ketoacyl-synt_C KR adh_short ketoacyl-synt"
3 "42296" 1 42296 "TC" "Terpene_synth_C"
3 "29524" 13 43759 "none" "Zn_clus"
3 "29524" 13 29730 "none" "KR adh_short"
3 "29524" 13 10240 "none" "ABC_tran ABC_membrane"
3 "29524" 13 29670 "none" "none"
3 "29524" 13 29524 "NRPS-Like" "AMP-binding PP-binding NAD_binding_4 Epimerase"
3 "29524" 13 43764 "none" "none"
3 "29524" 13 52586 "none" "none"
3 "29524" 13 43766 "none" "none"
3 "29524" 13 29864 "none" "Fungal_trans"
3 "29524" 13 52588 "none" "none"
3 "29524" 13 30208 "none" "MFS_1 Sugar_tr"
3 "29524" 13 43770 "none" "none"
3 "29524" 13 43771 "none" "MFS_1 Sugar_tr"
3 "43838" 1 43838 "PKS" "Ketoacyl-synt_C ADH_zinc_N Acyl_transf_1 KR ADH_N adh_short ketoacyl-synt"
3 "44132" 8 52805 "none" "p450"
3 "44132" 8 44126 "none" "none"
3 "44132" 8 61231 "none" "none"
3 "44132" 8 44128 "none" "none"
3 "44132" 8 44129 "none" "none"
3 "44132" 8 52806 "none" "MFS_1"
3 "44132" 8 61234 "none" "none"
3 "44132" 8 44132 "NRPS" "AMP-binding PP-binding Condensation"
3 "36084" 4 36398 "none" "Pyr_redox_2"
3 "36084" 4 55153 "none" "none"
3 "36084" 4 36456 "none" "none"
